Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
HM000001,62,Female,Cardigan,Clothing,33.93,Houston,M,Olive,Fall,3.8,Yes,Standard,20%,SUMMER20,4,Debit Card,Annually
HM000002,19,Male,Puffer Jacket,Outerwear,108.50,Atlanta,L,Yellow,Fall,4.0,Yes,Store Pickup,None,None,18,Debit Card,Bi-weekly
HM000003,56,Male,Scarf,Accessories,25.80,San Jose,One Size,Black,Summer,1.1,No,Next Day,None,None,8,Credit Card,Quarterly
HM000004,33,Male,Trench Coat,Outerwear,80.24,New York,XS,Blue,Summer,4.8,Yes,Express,None,None,7,Debit Card,Quarterly
HM000005,24,Male,Denim Jacket,Outerwear,131.39,Detroit,XS,Green,Fall,4.6,No,Store Pickup,None,None,9,Gift Card,Quarterly
HM000006,19,Female,Heels,Footwear,79.82,Phoenix,M,Brown,Spring,2.6,No,Store Pickup,15%,MEMBER25,11,Klarna,Monthly
HM000007,27,Male,Chinos,Clothing,52.53,New York,XXL,Black,Fall,3.2,Yes,Standard,None,None,23,Credit Card,Weekly
HM000008,56,Female,Skirt,Clothing,39.42,Denver,S,Blue,Spring,4.6,Yes,Standard,30%,SAVE30,3,Debit Card,Annually
HM000009,35,Male,Parka,Outerwear,60.45,Philadelphia,L,Brown,Spring,1.9,Yes,Store Pickup,None,None,2,Apple Pay,Annually
HM000010,22,Female,Leggings,Clothing,60.03,Detroit,S,Olive,Winter,3.1,No,Next Day,10%,MEMBER25,13,PayPal,Monthly
HM000011,31,Female,Trench Coat,Outerwear,96.43,Miami,XS,Cream,Fall,4.6,No,Store Pickup,None,None,5,Gift Card,Quarterly
HM000012,20,Male,Puffer Jacket,Outerwear,91.53,Miami,XXL,Pink,Summer,4.8,No,Standard,None,None,9,PayPal,Quarterly
HM000013,67,Male,Dress,Clothing,46.07,Philadelphia,XL,Black,Fall,4.2,Yes,Standard,None,None,24,Credit Card,Weekly
HM000014,28,Female,Puffer Jacket,Outerwear,53.73,New York,S,Navy,Summer,4.5,No,Standard,25%,SUMMER20,7,PayPal,Quarterly
HM000015,46,Female,Puffer Jacket,Outerwear,78.08,New York,XS,Burgundy,Fall,4.1,No,Standard,20%,STUDENT10,7,Credit Card,Quarterly
HM000016,28,Male,Trench Coat,Outerwear,172.95,Portland,L,Pink,Fall,3.2,Yes,Store Pickup,None,None,7,Debit Card,Quarterly
HM000017,26,Male,Boots,Footwear,67.60,Phoenix,XXL,Navy,Summer,4.5,Yes,Express,None,None,8,Debit Card,Quarterly
HM000018,66,Female,Bomber Jacket,Outerwear,130.13,Los Angeles,XL,Burgundy,Winter,4.6,No,Standard,15%,NEWYEAR15,11,Google Pay,Monthly
HM000019,41,Female,Parka,Outerwear,175.14,San Jose,M,Black,Winter,4.9,No,Standard,None,None,0,Debit Card,Rarely
HM000020,38,Male,Hoodie,Clothing,30.48,Las Vegas,L,Olive,Spring,4.2,No,Express,15%,NEWYEAR15,9,Gift Card,Quarterly
HM000021,32,Male,Hoodie,Clothing,18.36,San Antonio,XL,Brown,Winter,3.0,No,Express,30%,FLASH25,3,Klarna,Annually
HM000022,44,Male,Boots,Footwear,46.29,Los Angeles,L,Beige,Fall,4.8,No,Standard,15%,FLASH25,12,Klarna,Monthly
HM000023,62,Male,Heels,Footwear,82.62,Phoenix,L,Pink,Spring,3.1,No,Store Pickup,None,None,4,Klarna,Annually
HM000024,28,Female,Bomber Jacket,Outerwear,131.28,Houston,XXL,Cream,Spring,3.0,Yes,Store Pickup,None,None,24,Credit Card,Weekly
HM000025,54,Male,Boots,Footwear,49.75,Denver,S,Green,Spring,4.3,No,Express,30%,SAVE30,0,PayPal,Rarely
HM000026,34,Male,Joggers,Clothing,34.34,New York,S,Navy,Winter,3.9,No,Next Day,10%,NEWYEAR15,6,Klarna,Quarterly
HM000027,22,Female,Bomber Jacket,Outerwear,70.65,Los Angeles,XS,Gray,Summer,4.1,No,Store Pickup,20%,FALL15,11,Debit Card,Monthly
HM000028,38,Male,Scarf,Accessories,32.99,Portland,One Size,Navy,Winter,4.5,Yes,Store Pickup,20%,FALL15,17,Debit Card,Bi-weekly
HM000029,28,Female,Watch,Accessories,32.24,New York,One Size,Cream,Fall,4.4,Yes,Store Pickup,30%,FLASH25,1,PayPal,Rarely
HM000030,49,Male,Dress Shirt,Clothing,45.71,Dallas,L,Blue,Spring,4.6,Yes,Standard,30%,WELCOME10,15,Google Pay,Bi-weekly
HM000031,18,Male,Denim Jacket,Outerwear,140.76,Phoenix,S,Brown,Winter,4.9,Yes,Store Pickup,20%,FALL15,10,PayPal,Monthly
HM000032,43,Female,Skirt,Clothing,34.41,San Diego,XS,Purple,Summer,3.4,Yes,Next Day,None,None,20,Debit Card,Weekly
HM000033,37,Female,Belt,Accessories,15.34,Detroit,One Size,Red,Fall,4.9,Yes,Standard,30%,MEMBER25,1,Klarna,Rarely
HM000034,66,Male,Winter Coat,Outerwear,110.64,Seattle,S,Beige,Spring,4.4,Yes,Express,10%,NEWYEAR15,16,Apple Pay,Bi-weekly
HM000035,40,Female,Bomber Jacket,Outerwear,78.12,Boston,XL,Pink,Summer,3.6,No,Express,25%,MEMBER25,3,Credit Card,Annually
HM000036,54,Male,Wallet,Accessories,10.42,Las Vegas,One Size,Olive,Winter,5.0,No,Express,30%,SUMMER20,4,Google Pay,Annually
HM000037,57,Female,Polo Shirt,Clothing,25.42,Portland,M,Cream,Spring,4.2,Yes,Standard,15%,FREESHIP,2,Credit Card,Annually
HM000038,50,Female,Sandals,Footwear,45.57,Los Angeles,XXL,Green,Spring,4.2,No,Next Day,None,None,4,Debit Card,Annually
HM000039,63,Male,Flats,Footwear,56.56,San Jose,S,Blue,Fall,4.0,No,Store Pickup,10%,MEMBER25,12,Gift Card,Monthly
HM000040,67,Female,Joggers,Clothing,47.51,Las Vegas,L,Beige,Fall,3.1,No,Express,None,None,6,Credit Card,Quarterly
HM000041,40,Male,Hoodie,Clothing,11.80,Detroit,S,Yellow,Summer,3.2,Yes,Standard,25%,SUMMER20,17,Klarna,Bi-weekly
HM000042,43,Male,Hoodie,Clothing,23.57,Jacksonville,XS,Black,Spring,4.6,No,Standard,15%,FALL15,1,Apple Pay,Rarely
HM000043,33,Female,Scarf,Accessories,27.80,Philadelphia,One Size,Green,Winter,3.8,Yes,Express,15%,STUDENT10,11,Klarna,Monthly
HM000044,48,Female,Jewelry,Accessories,38.53,Boston,One Size,Burgundy,Winter,4.8,Yes,Standard,10%,SAVE30,5,PayPal,Quarterly
HM000045,35,Female,Tank Top,Clothing,20.33,Miami,M,Brown,Winter,4.4,Yes,Express,None,None,17,PayPal,Bi-weekly
HM000046,39,Male,Polo Shirt,Clothing,48.58,Boston,M,Beige,Summer,3.9,Yes,Standard,30%,FALL15,0,Apple Pay,Rarely
HM000047,55,Female,Parka,Outerwear,131.72,Boston,S,Cream,Winter,4.6,No,Store Pickup,None,None,9,Credit Card,Quarterly
HM000048,29,Female,Sunglasses,Accessories,9.16,Austin,One Size,Gray,Winter,3.5,Yes,Store Pickup,25%,SAVE30,3,PayPal,Annually
HM000049,27,Male,Puffer Jacket,Outerwear,92.71,Phoenix,XXL,Yellow,Winter,3.3,Yes,Store Pickup,10%,MEMBER25,12,Gift Card,Monthly
HM000050,55,Male,Sweater,Clothing,13.51,San Diego,S,Brown,Summer,4.1,No,Standard,30%,STUDENT10,13,PayPal,Monthly
HM000051,54,Male,Parka,Outerwear,82.62,Houston,XS,Red,Spring,4.5,No,Next Day,None,None,7,PayPal,Quarterly
HM000052,45,Female,Backpack,Accessories,24.13,Austin,One Size,Navy,Fall,3.8,Yes,Standard,None,None,12,Gift Card,Monthly
HM000053,46,Male,Boots,Footwear,43.41,Austin,XL,Black,Spring,4.7,Yes,Express,25%,MEMBER25,15,Google Pay,Bi-weekly
HM000054,67,Female,Loafers,Footwear,64.58,San Antonio,XL,Cream,Winter,3.6,Yes,Standard,10%,SAVE30,21,Klarna,Weekly
HM000055,24,Male,Blazer,Clothing,26.95,Portland,M,Black,Summer,3.3,Yes,Store Pickup,None,None,8,Google Pay,Quarterly
HM000056,40,Male,Skirt,Clothing,29.92,Los Angeles,L,Blue,Fall,3.8,Yes,Store Pickup,25%,SAVE30,7,Google Pay,Quarterly
HM000057,63,Male,Sandals,Footwear,92.73,Seattle,S,White,Fall,3.9,Yes,Standard,20%,MEMBER25,21,Credit Card,Weekly
HM000058,26,Female,Blazer,Clothing,65.98,San Diego,S,Black,Summer,1.5,No,Next Day,None,None,6,PayPal,Quarterly
HM000059,49,Female,Sneakers,Footwear,46.19,San Antonio,XS,Blue,Winter,4.1,No,Express,None,None,10,Apple Pay,Monthly
HM000060,43,Female,Wallet,Accessories,29.56,Phoenix,One Size,Black,Summer,4.2,Yes,Express,15%,WELCOME10,1,Klarna,Rarely
HM000061,28,Male,Jeans,Clothing,73.90,New York,XL,Gray,Fall,4.3,No,Standard,None,None,7,Klarna,Quarterly
HM000062,28,Female,Winter Coat,Outerwear,146.14,San Diego,S,Red,Fall,3.0,No,Store Pickup,10%,WELCOME10,5,Google Pay,Quarterly
HM000063,30,Female,Winter Coat,Outerwear,131.40,Detroit,S,Olive,Winter,1.8,Yes,Store Pickup,20%,SAVE30,11,Klarna,Monthly
HM000064,25,Male,Sweater,Clothing,43.49,New York,XL,Pink,Winter,3.4,No,Standard,None,None,14,Gift Card,Monthly
HM000065,35,Female,Puffer Jacket,Outerwear,114.02,Austin,L,Olive,Spring,3.2,No,Express,10%,FLASH25,1,Klarna,Rarely
HM000066,41,Male,Wallet,Accessories,43.15,Denver,One Size,Beige,Winter,3.7,No,Next Day,None,None,9,Google Pay,Quarterly
HM000067,35,Female,Bomber Jacket,Outerwear,77.18,Denver,M,Blue,Spring,3.2,Yes,Next Day,20%,SAVE30,17,Gift Card,Bi-weekly
HM000068,53,Female,Belt,Accessories,11.07,Los Angeles,One Size,Red,Summer,4.3,No,Next Day,None,None,14,Klarna,Monthly
HM000069,57,Male,Hat,Accessories,30.42,San Jose,One Size,Yellow,Spring,3.1,No,Next Day,None,None,4,Google Pay,Annually
HM000070,56,Female,Winter Coat,Outerwear,168.56,Chicago,XL,Pink,Winter,4.5,No,Store Pickup,None,None,2,Google Pay,Annually
HM000071,18,Male,Sunglasses,Accessories,20.98,Portland,One Size,Burgundy,Spring,2.2,No,Next Day,25%,STUDENT10,13,Klarna,Monthly
HM000072,33,Male,Denim Jacket,Outerwear,104.76,Houston,S,Yellow,Spring,3.7,No,Standard,20%,NEWYEAR15,12,Klarna,Monthly
HM000073,33,Female,Loafers,Footwear,75.29,Austin,XL,Pink,Spring,2.8,No,Express,None,None,13,Credit Card,Monthly
HM000074,20,Female,Coat,Clothing,46.86,Austin,S,Yellow,Fall,4.2,No,Standard,30%,MEMBER25,5,Google Pay,Quarterly
HM000075,46,Male,Joggers,Clothing,51.22,Atlanta,L,Gray,Fall,2.6,No,Store Pickup,30%,STUDENT10,10,Credit Card,Monthly
HM000076,33,Female,Winter Coat,Outerwear,124.10,Portland,M,Yellow,Fall,3.9,No,Next Day,None,None,0,Credit Card,Rarely
HM000077,22,Female,Cardigan,Clothing,14.31,San Diego,L,Beige,Spring,3.4,No,Standard,20%,MEMBER25,1,Klarna,Rarely
HM000078,47,Female,Sandals,Footwear,98.81,Jacksonville,S,Pink,Fall,4.8,Yes,Next Day,None,None,13,Apple Pay,Monthly
HM000079,48,Female,Basic T-Shirt,Clothing,13.54,Detroit,XL,Brown,Summer,3.1,Yes,Next Day,25%,SAVE30,4,Google Pay,Annually
HM000080,51,Male,Running Shoes,Footwear,63.00,Miami,L,Blue,Spring,4.3,Yes,Store Pickup,25%,WELCOME10,15,Google Pay,Bi-weekly
HM000081,67,Male,Sneakers,Footwear,119.45,Portland,L,Gray,Fall,4.8,Yes,Store Pickup,None,None,17,Credit Card,Bi-weekly
HM000082,24,Male,Basic T-Shirt,Clothing,42.58,Atlanta,S,Burgundy,Fall,3.8,No,Standard,None,None,12,PayPal,Monthly
HM000083,45,Female,Denim Jacket,Outerwear,120.01,Atlanta,L,Green,Fall,3.4,Yes,Store Pickup,15%,WELCOME10,9,Apple Pay,Quarterly
HM000084,56,Female,Denim Jacket,Outerwear,171.49,San Jose,L,Blue,Spring,3.2,No,Standard,None,None,1,Gift Card,Rarely
HM000085,50,Female,Backpack,Accessories,13.76,Houston,One Size,Cream,Summer,3.3,No,Store Pickup,10%,FLASH25,13,Credit Card,Monthly
HM000086,22,Male,Parka,Outerwear,106.66,Jacksonville,XXL,Green,Fall,4.9,Yes,Next Day,25%,FALL15,12,Credit Card,Monthly
HM000087,51,Female,Boots,Footwear,83.70,Chicago,XS,Cream,Fall,1.5,Yes,Next Day,None,None,23,Credit Card,Weekly
HM000088,29,Female,Hoodie,Clothing,24.03,New York,XL,Cream,Summer,2.8,No,Store Pickup,10%,MEMBER25,9,Apple Pay,Quarterly
